Movie Title,Movie Rating,Movie Votings,Movie Durations,Genres
Operation War Thunder,5.3, (115),1h 14m,Sci-Fi
Creep Encounters,6.3, (60),1h 30m,Sci-Fi
Reversi,8.4, (97),2h 15m,Sci-Fi
Abaddon's Pit,5.7, (36),1h 33m,Sci-Fi
Rani Rani Rani,7.6, (17),1h 37m,Sci-Fi
Touchdown,6.8, (13),1h 18m,Sci-Fi
Addy Daddy,8.0, (24),1h 58m,Sci-Fi
Star Abyss,3.8, (240),1h 26m,Sci-Fi
The Dugout,5.5, (747),1h 54m,Sci-Fi
Heavens: The Boy and His Robot,6.3, (21),1h 38m,Sci-Fi
Jon Vardar protiv Galaksijata,9.0, (59),1h 26m,Sci-Fi
Honshin,6.6, (25),2h 2m,Sci-Fi
Permafrost,5.7, (112),1h 20m,Sci-Fi
The Trail,7.2, (18),1h 20m,Sci-Fi
Lunacy,5.0, (60),1h 17m,Sci-Fi
Rahasyam Idham Jagath,7.5, (49),2h 33m,Sci-Fi
Captain Avispa,5.8, (172),1h 36m,Sci-Fi
Agapouse ta louloudia perissotero,5.3, (177),1h 26m,Sci-Fi
Miracle Mirrors,6.5, (107),1h 43m,Sci-Fi
Arctic Hollow,2.3, (179),1h 10m,Sci-Fi
Sign Here,6.2, (242),1h 40m,Sci-Fi
Fuuto PI: Portrait of Kamen Rider Skull,7.5, (30),1h 22m,Sci-Fi
Gaganachari,6.9, (1.1K),1h 55m,Sci-Fi
The Deadly Swarm,2.4, (183),1h 21m,Sci-Fi
Alien Hunt,3.1, (133),1h 20m,Sci-Fi
Project Dorothy,4.0, (3.2K),1h 20m,Sci-Fi
The A-Frame,7.2, (36),1h 22m,Sci-Fi
Lunar Lockdown,5.3, (76),1h 39m,Sci-Fi
Agrinai,7.9, (66),1h 33m,Sci-Fi
Spark,5.3, (50),1h 50m,Sci-Fi
Isleen Pines,5.2, (539),1h 24m,Sci-Fi
The Captives,3.5, (65),1h 13m,Sci-Fi
Ascension,3.9, (27),1h 37m,Sci-Fi
Kuramerukagari,5.8, (79),1h 1m,Sci-Fi
Quantum Suicide,5.5, (13),1h 27m,Sci-Fi
Our Man in L.A.,4.8, (121),1h 11m,Sci-Fi
Re:Human,5.8, (40),1h 48m,Sci-Fi
Adresi Olmayan Ev,6.0, (27),1h 36m,Sci-Fi
Sith Wars: Episódio III - Fantasmas Dos Sith,8.8, (111),1h 39m,Sci-Fi
Telekinesis,5.9, (59),1h 46m,Sci-Fi
The Human Hibernation,6.4, (61),1h 30m,Sci-Fi
Boomerang,7.3, (385),2h 14m,Sci-Fi
Quadrant,4.3, (136),1h 13m,Sci-Fi
Weapon,5.5, (5.5K),2h,Sci-Fi
Touch,8.0, (10),1h 3m,Sci-Fi
Mame snova 17,5.5, (171),1h 48m,Sci-Fi
Darshini,8.8, (2.1K),2h,Sci-Fi
Flashlight,4.2, (11),1h 17m,Sci-Fi
J Loop,5.4, (143),1h 39m,Sci-Fi
Tales Beyond the Galaxy,5.5, (146),1h 16m,Sci-Fi
Daha Iyi Bir Yarin,6.7, (57),1h 48m,Sci-Fi
Kadaisi Ulaga Por,6.2, (1.2K),2h 20m,Sci-Fi
The Worlds Divide,8.0, (36),2h,Sci-Fi
The Eye of the Salamander,7.9, (20),1h 21m,Sci-Fi
Traces of Love,6.5, (900),1h 45m,Sci-Fi
The Secret of Pin-Up Island,7.4, (92),1h 47m,Sci-Fi
Dead Dead Demon's Dededede Destruction Zenpen,7.0, (136),2h,Sci-Fi
The Washer,7.5, (9),1h 30m,Sci-Fi
Replika,5.2, (41),2h 5m,Sci-Fi
SCP: The Infinite Mission,7.0, (11),16+,Sci-Fi
Room 0,3.1, (208),1h 42m,Sci-Fi
Yesterday After Tomorrow,5.2, (309),2h,Sci-Fi
Hidden Memories,5.9, (31),1h 24m,Sci-Fi
Indrani: Epic-1 Dharam vs Karam,7.6, (1.1K),2h 37m,Sci-Fi
Alien Love,5.4, (53),1h 15m,Sci-Fi
Day of the Clones,4.0, (59),1h 38m,Sci-Fi
Gravediggers,6.6, (26),1h 31m,Sci-Fi
Tobias and the Arcane Merchant,9.0, (42),2h 47m,Sci-Fi
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.1, (29),50m,Sci-Fi
Boreal,8.5, (6),1h 22m,Sci-Fi
Transient,6.3, (260),1h 36m,Sci-Fi
Pandasaurus,3.5, (51),1h 18m,Sci-Fi
Prishelets,5.4, (145),1h 13m,Sci-Fi
Friends of Sophia,5.9, (13),25m,Sci-Fi
Mama,8.5, (7),1h 40m,Sci-Fi
Milestone,8.2, (15),1h 28m,Sci-Fi
Tees,7.0, (7),2h 22m,Sci-Fi
ON i Ona,7.4, (8),1h 30m,Sci-Fi
Soul Traveler (The Feature),4.3, (20),1h 36m,Sci-Fi
Kade,6.5, (15),1h 32m,Sci-Fi
Something in the Dark,7.0, (21),1h 27m,Sci-Fi
Perspectiva,6.2, (96),1h 30m,Sci-Fi
Video Vision,5.9, (20),1h 18m,Sci-Fi
Mobile Suit Gundam: Silver Phantom,6.1, (13),1h 30m,Sci-Fi
Jurassic Exorcist,3.9, (20),1h 16m,Sci-Fi
"The Girl, the Hunter & the Firefly",7.3, (19),1h 38m,Sci-Fi
Piraty galaktiki Barrakuda,4.4, (78),1h 32m,Sci-Fi
Code Geass: Rozé of the Recapture - Part 1,7.9, (39),1h 14m,Sci-Fi
O Melhor dos Mundos,6.3, (42),1h 10m,Sci-Fi
After Link,7.5, (20),14m,Sci-Fi
Adam i Eva,5.1, (92),1h 35m,Sci-Fi
Quadrant: Noir Version,7.0, (9),1h 13m,Sci-Fi
Franta mimozemstan,4.6, (70),1h 38m,Sci-Fi
He Has Gone Rogue - The Return of Cyrus,8.8, (32),1h,Sci-Fi
The Burned Hand,8.0, (12),1h 25m,Sci-Fi
Code Geass: Rozé of the Recapture: Part 2,8.1, (24),1h 16m,Sci-Fi
Iron Nest of the Moon,7.6, (13),1h 10m,Sci-Fi
Iravin Kangal,8.1, (171),1h 56m,Sci-Fi
What Lies Within,5.3, (13),1h 30m,Sci-Fi
The Winter Prophecy,7.9, (13),52m,Sci-Fi
Aliens Uncovered: UFOs Over Arizona,8.4, (16),1h 56m,Sci-Fi
Shi Ren Yu,2.5, (8),1h 11m,Sci-Fi
Zenith,6.0, (29),1h 14m,Sci-Fi
Max Beyond,6.6, (17),1h 33m,Sci-Fi
Dead Talk Tales: Volume I,6.6, (26),1h 38m,Sci-Fi
Trap,3.3, (15),1h 58m,Sci-Fi
Biónica,7.2, (7),1h 22m,Sci-Fi
Secret Within the Sphere,7.8, (19),1h 13m,Sci-Fi
Mertsanie,5.8, (17),1h 32m,Sci-Fi
I 20,9.1, (492),1h 54m,Sci-Fi
StarGazer: The Need of the Many,5.0, (9),47m,Sci-Fi
Astra,6.8, (8),1h 20m,Sci-Fi
The Clashing Elements: Saviors of the Multiverse,6.6, (7),1h 31m,Sci-Fi
Back to 2005,8.3, (45),1h 28m,Sci-Fi
Horse with No Name,7.7, (11),1h 12m,Sci-Fi
Untied,8.0, (28),1h 44m,Sci-Fi
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.0, (9),50m,Sci-Fi
Isle: Alpha One,8.4, (7),1h 37m,Sci-Fi
Stock Shark,7.2, (53),47m,Sci-Fi
Best Cop Ever,4.4, (48),2h 2m,Sci-Fi
Bloody Escape,6.1, (25),1h 40m,Sci-Fi
Through the Graves the Wind Is Blowing,7.1, (70),1h 20m,Sci-Fi
Morana,6.2, (26),1h 59m,Sci-Fi
Code Geass: Rozé of the Recapture: Part 4,7.0, (12),1h 10m,Sci-Fi
Brush of the God,6.5, (13),1h 14m,Sci-Fi
Code Geass: Rozé of the Recapture: Part 3,7.7, (22),1h 16m,Sci-Fi
Ogiva: O Mundo Não é Mais Nosso,5.6, (29),1h 20m,Sci-Fi
2015: Future Uncertain,6.9, (17),1h 12m,Sci-Fi
The Uncertainty Principle,7.9, (10),1h 29m,Sci-Fi
Waning Poetic,8.4, (11),1h 33m,Sci-Fi
Kohinoor,8.1, (22),1h 59m,Sci-Fi
Gostya iz kosmosa,8.5, (6),1h 10m,Sci-Fi
Tsena doveriya,5.8, (27),1h 23m,Sci-Fi
