Movie Title,Movie Rating,Movie Votings,Movie Durations,Genres
The Ballad of Hortensia,6.7, (124),1h 34m,Fantasy
Zak & Wowo: The Legend of Lendarys,5.7, (85),1h 25m,Fantasy
Askepote,3.4, (79),1h 12m,Fantasy
Ebenezer: The Traveler,3.5, (144),1h 42m,Fantasy
The Gesuidouz,6.9, (52),1h 33m,Fantasy
Nie Xiaoqian,6.7, (14),1h 52m,Fantasy
Wedding Diaries,9.0, (2K),2h 1m,Fantasy
Pechi,5.5, (1.5K),1h 50m,Fantasy
Sith Wars: Episódio III - Fantasmas Dos Sith,8.8, (111),1h 39m,Fantasy
Bloodspawn,5.7, (9),1h 16m,Fantasy
Una ballena,6.0, (47),1h 48m,Fantasy
Ooru Peru Bhairavakona,5.7, (1.7K),2h 13m,Fantasy
Joachim and the Apocalypse,7.2, (12),1h 30m,Fantasy
Woof Woof Daddy,6.5, (39),1h 45m,Fantasy
Hakkenden,5.8, (70),2h 29m,Fantasy
Planet 7693,7.6, (66),1h 50m,Fantasy
Fights Break Sphere 3,4.7, (8),1h 21m,Fantasy
Ella,9.3, (62),1h 31m,Fantasy
Fushigi Dagashiya Zenitendo,8.0, (14),1h 43m,Fantasy
The Beads,6.3, (11),1h 40m,Fantasy
The Umbrella Fairy,5.5, (48),1h 35m,Fantasy
The Worlds Divide,8.0, (36),2h,Fantasy
The Eye of the Salamander,7.9, (20),1h 21m,Fantasy
Traces of Love,6.5, (900),1h 45m,Fantasy
The Secret of Pin-Up Island,7.4, (92),1h 47m,Fantasy
Ienai Himitsu,7.0, (58),1h 55m,Fantasy
Mother Maker Lover Taker,6.1, (32),1h 39m,Fantasy
Dead Dead Demon's Dededede Destruction Zenpen,7.0, (136),2h,Fantasy
Nueva Tierra,7.9, (29),2h 3m,Fantasy
Spin the Wheel,6.0, (87),1h 42m,Fantasy
Respati,5.8, (277),1h 52m,Fantasy
Hiçbir Sey Normal Degil,7.0, (51),1h 11m,Fantasy
Les tempêtes,5.7, (21),1h 24m,Fantasy
Cedric & Alysia,5.1, (51),1h 24m,Fantasy
Sahmeran Efsanesi-Tulhan,5.9, (32),16+,Fantasy
The Journey of Flower,3.9, (25),1h 37m,Fantasy
Two Breaths,8.2, (20),18m,Fantasy
Double Tuckerr,5.0, (1.2K),2h,Fantasy
Yao Shen Ling,6.7, (66),1h 33m,Fantasy
The Old Man and the Demon Sword,7.7, (32),1h 3m,Fantasy
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.1, (29),50m,Fantasy
Chhota Bheem and the Curse of Damyaan,4.8, (2.3K),2h 25m,Fantasy
Snake Skin Beauty,4.1, (19),1h 23m,Fantasy
Wonderland,6.8, (12),2h,Fantasy
Mephisto,5.4, (61),1h 48m,Fantasy
Code Duello: From the Tithebanner Saga,8.9, (338),1h 1m,Fantasy
Fenómenos naturales,7.5, (26),1h 20m,Fantasy
Vincent,8.5, (33),1h 32m,Fantasy
Apollon by Day Athena by Night,7.6, (10),1h 52m,Fantasy
10/31 Part 4,5.6, (17),1h 27m,Fantasy
"Fallen Leaves, Broken Lighters",7.8, (6),1h 36m,Fantasy
Blue Christmas,5.8, (19),1h 19m,Fantasy
JAPA,7.5, (15),1h 50m,Fantasy
Couple in the Woods,5.9, (29),1h 5m,Fantasy
Apokrif,8.6, (18),1h 4m,Fantasy
Soul Traveler (The Feature),4.3, (20),1h 36m,Fantasy
Witches of God,7.6, (16),1h 13m,Fantasy
Achilles Curse and the Curse of Treasure,7.4, (24),2h 5m,Fantasy
"The Girl, the Hunter & the Firefly",7.3, (19),1h 38m,Fantasy
Vasilisa i khraniteli vremeni,3.1, (66),1h 38m,Fantasy
Pushpaka Vimanam,5.6, (16),2h 17m,Fantasy
Lilla spöket Laban spökar igen,6.3, (20),44m,Fantasy
Tara - The Lost Star,9.9, (9),1h 30m,Fantasy
Formula vody,4.3, (27),1h 26m,Fantasy
Vidente por Acidente,5.1, (69),1h 33m,Fantasy
Samaya bolshaya luna,2.4, (127),1h 45m,Fantasy
Iron Nest of the Moon,7.6, (13),1h 10m,Fantasy
Tri bogatyrya. Ni dnya bez podviga,5.7, (62),1h 1m,Fantasy
UnichtoZhanna,3.4, (47),1h 38m,Fantasy
Bob a Bobek ve filmu: Na stope Mrkvojeda,8.8, (17),1h 20m,Fantasy
Demon Host,5.9, (15),1h 20m,Fantasy
Domovoy,4.3, (289),1h 42m,Fantasy
Black Dragon,3.9, (9),1h 39m,Fantasy
Velký Pán,7.0, (8),1h 13m,Fantasy
Nebesko,5.2, (10),1h 13m,Fantasy
Supersiostry,3.9, (134),1h 30m,Fantasy
Darker Than Night,4.8, (23),1h 22m,Fantasy
Horse with No Name,7.7, (11),1h 12m,Fantasy
Keo=peul-ji-ok,5.0, (5),1h 34m,Fantasy
IZLIYORLAR,7.2, (28),1h 53m,Fantasy
Painted Skin,6.8, (52),1h 20m,Fantasy
Xiao zi,3.5, (12),1h 41m,Fantasy
Dracu Ra,5.5, (34),1h 46m,Fantasy
Gato Galactico e o Feitiço do Tempo,7.7, (68),1h 25m,Fantasy
Sharma & Ambani,9.1, (182),1h 44m,Fantasy
Krapiva: Tsvetok smerti,6.0, (48),1h 21m,Fantasy
Brush of the God,6.5, (13),1h 14m,Fantasy
Princezna na hrásku,5.6, (63),1h 20m,Fantasy
And Through the Portal We Go,7.0, (7),1h 23m,Fantasy
LUDA,7.2, (6),1h 26m,Fantasy
The Legend of the Cat Demon,4.8, (12),1h 25m,Fantasy
Chyortov kamen,6.4, (9),1h 45m,Fantasy
"Bryson, the Demon Slayer",4.5, (12),59m,Fantasy
Wanderer,7.0, (9),50m,Fantasy
Skazochnyy patrul. Shou prodolzhayetsya,7.2, (11),1h 5m,Fantasy
Bicho Monstro,8.0, (5),1h 15m,Fantasy
Kyle and the Last Emerald,5.6, (17),20m,Fantasy
Let's Go! Anpanman: Baikinman and Lulun,6.5, (7),1h 4m,Fantasy
Lucid Love,8.6, (29),1h 11m,Fantasy
I Am Moon,8.0, (9),2h 7m,Fantasy
The Blinkless,7.8, (12),59m,Fantasy
Kyle and the Last Emerald 2,8.4, (7),15m,Fantasy
