Movie Title,Movie Rating,Movie Votings,Movie Durations,Genres
"Robotia, the Movie",8.2, (17),1h 26m,Animation
Rocket Club: Across the Cosmos,8.2, (18),1h 8m,Animation
Olivia & the Clouds,7.2, (44),1h 21m,Animation
Tay 2: Ebabil Takimi,5.5, (35),1h 18m,Animation
Pui Pui Molcar the Movie: Molmax,6.7, (6),1h 9m,Animation
PAPmusic - Animation for Fashion,1.0, (123),1h 25m,Animation
The Greatest Surf Movie in the Universe,5.4, (8),1h 21m,Animation
Mobile Suit Gundam: Silver Phantom,6.1, (13),1h 30m,Animation
Code Geass: Rozé of the Recapture - Part 1,7.9, (39),1h 14m,Animation
Riki Rhino: The Bird Kingdom,5.0, (22),1h 49m,Animation
Uma Musume: Pretty Derby - Beginning of a New Era,7.4, (109),1h 48m,Animation
Lilla spöket Laban spökar igen,6.3, (20),44m,Animation
Formula vody,4.3, (27),1h 26m,Animation
Babaee-ye Ghahreman,8.7, (34),1h 20m,Animation
Pleasant Goat and Big Big Wolf: The World Guardians,7.0, (11),1h 36m,Animation
Arne Alligator och djungelkompisarna,4.6, (48),1h 1m,Animation
Hello My Beautiful Creatures,6.8, (167),2h 22m,Animation
Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,6.0, (7),59m,Animation
Code Geass: Rozé of the Recapture: Part 2,8.1, (24),1h 16m,Animation
Tri bogatyrya. Ni dnya bez podviga,5.7, (62),1h 1m,Animation
Motu Patlu & The Race to the Diamond Valley,7.8, (27),1h 12m,Animation
The Ballad of Straw Hat Sam,9.1, (9),45m,Animation
Luv You Shankar,5.8, (43),2h,Animation
Max Beyond,6.6, (17),1h 33m,Animation
Sunburnt Unicorn,7.4, (9),1h 21m,Animation
Sirds likums,6.6, (16),1h 5m,Animation
Zuzubalândia: O Filme,5.6, (10),1h,Animation
Bob a Bobek ve filmu: Na stope Mrkvojeda,8.8, (17),1h 20m,Animation
Bizarros Peixes das Fossas Abissais,8.4, (8),1h 15m,Animation
Velký Pán,7.0, (8),1h 13m,Animation
The Delegator,4.2, (17),1h 36m,Animation
Ninja Doomscrolling,8.1, (102),1h 36m,Animation
Nasreddin Hoca: Zaman Yolcusu - Kadim Medeniyetler,7.7, (12),1h 18m,Animation
Astra,6.8, (8),1h 20m,Animation
Ugly Sweater,7.1, (13),1h 20m,Animation
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.0, (9),50m,Animation
Isle: Alpha One,8.4, (7),1h 37m,Animation
Abá e Sua Banda,8.0, (6),1h 24m,Animation
Yumi's Cells: The Movie,6.2, (48),1h 33m,Animation
Bloody Escape,6.1, (25),1h 40m,Animation
Turbozavry. God drakona,9.2, (41),48m,Animation
Code Geass: Rozé of the Recapture: Part 4,7.0, (12),1h 10m,Animation
2475 Dawn of Revolution,6.3, (152),2h 7m,Animation
Code Geass: Rozé of the Recapture: Part 3,7.7, (22),1h 16m,Animation
Terra Incognita 1901,9.2, (12),1h 18m,Animation
Ekip: Siberay - Günes Firtinasi,6.0, (14),1h 12m,Animation
LUDA,7.2, (6),1h 26m,Animation
Ya Boy Kongming! Road to Summer Sonia,7.5, (38),1h 59m,Animation
"Hey, Tete",6.4, (9),2h 31m,Animation
Skazochnyy patrul. Shou prodolzhayetsya,7.2, (11),1h 5m,Animation
Let's Go! Anpanman: Baikinman and Lulun,6.5, (7),1h 4m,Animation
Bie ba zuo wen dang hui shi er,7.2, (10),1h 29m,Animation
Elli and the Ghostly Ghost Train,5.0, (88),1h 26m,Animation
